Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,update_date
239.0,Luke Kennard,29.0,ATL,SG,36.0,0.0,20.5,2.8,5.3,0.521,1.6,3.3,0.475,1.2,1.9,0.6,0.671,0.8,0.8,0.933,0.4,1.5,1.9,2.3,0.8,0.1,0.8,1.2,7.9,,2026-01-14
240.0,Terance Mann,29.0,BRK,SG,33.0,33.0,26.3,2.9,6.5,0.446,0.8,2.6,0.314,2.1,3.8,0.535,0.509,1.3,1.6,0.846,1.4,2.1,3.5,3.8,0.8,0.3,1.1,2.8,7.9,,2026-01-14
241.0,Quinten Post,25.0,GSW,PF,41.0,27.0,18.0,3.0,6.8,0.436,1.5,4.5,0.341,1.4,2.3,0.621,0.548,0.4,0.5,0.818,0.9,2.9,3.8,1.4,0.5,0.5,0.8,2.0,7.9,,2026-01-14
242.0,Sam Hauser,28.0,BOS,PF,38.0,10.0,22.5,2.6,6.8,0.385,2.3,6.1,0.383,0.3,0.8,0.4,0.554,0.2,0.2,0.875,0.7,2.9,3.6,1.2,0.6,0.3,0.6,1.2,7.8,,2026-01-14
243.0,Vince Williams Jr.,25.0,MEM,PG,25.0,11.0,21.9,2.7,7.6,0.351,1.3,4.4,0.3,1.4,3.2,0.42,0.437,1.1,1.3,0.818,0.8,3.5,4.3,4.9,0.7,0.5,2.0,2.1,7.8,,2026-01-14
244.0,Tyrese Martin,26.0,BRK,SG,31.0,6.0,19.6,2.9,7.2,0.397,1.5,4.3,0.341,1.4,3.0,0.478,0.498,0.5,0.8,0.708,0.9,2.0,3.0,2.1,0.7,0.1,1.0,1.0,7.7,,2026-01-14
245.0,Ryan Nembhard,22.0,DAL,PG,27.0,17.0,20.7,3.3,6.9,0.473,1.0,2.5,0.397,2.3,4.4,0.517,0.546,0.2,0.3,0.714,0.2,1.6,1.8,5.1,0.2,0.0,1.6,1.5,7.7,,2026-01-14
246.0,Day'Ron Sharpe,24.0,BRK,C,36.0,3.0,17.8,2.9,4.9,0.597,0.2,0.8,0.214,2.8,4.1,0.669,0.614,1.7,2.5,0.667,2.4,3.8,6.3,2.4,1.0,0.5,1.6,2.2,7.7,,2026-01-14
247.0,Kyle Anderson,32.0,UTA,SF,12.0,0.0,20.1,3.0,6.2,0.486,0.1,0.2,0.5,2.9,6.0,0.486,0.493,1.5,2.0,0.75,1.1,2.4,3.5,2.8,1.5,0.4,1.0,2.3,7.6,,2026-01-14
248.0,Jamaree Bouyea,26.0,PHO,PG,19.0,0.0,14.7,3.1,5.5,0.562,0.8,2.1,0.41,2.3,3.5,0.652,0.638,0.6,0.8,0.688,0.5,1.5,2.1,1.7,0.6,0.4,0.4,0.7,7.6,,2026-01-14
249.0,Daniss Jenkins,24.0,DET,PG,31.0,6.0,16.4,2.8,6.5,0.428,1.0,2.5,0.39,1.8,4.0,0.452,0.502,1.1,1.4,0.795,0.6,1.3,1.8,3.3,0.9,0.1,1.4,1.3,7.6,,2026-01-14
250.0,Luka Garza,27.0,BOS,C,31.0,1.0,16.3,2.7,4.4,0.618,0.7,1.3,0.512,2.0,3.1,0.663,0.695,1.4,1.7,0.796,2.5,1.9,4.4,0.9,0.4,0.5,0.4,2.5,7.5,,2026-01-14
251.0,Collin Murray-Boyles,20.0,TOR,PF,34.0,10.0,20.7,3.1,5.8,0.541,0.4,1.2,0.366,2.7,4.6,0.587,0.579,0.8,1.3,0.622,2.5,2.5,4.9,1.8,0.9,0.6,1.1,2.6,7.5,,2026-01-14
252.0,Danny Wolf,21.0,BRK,PF,23.0,3.0,19.5,2.7,7.0,0.381,1.0,3.0,0.343,1.6,3.9,0.411,0.456,1.1,1.4,0.813,1.0,3.3,4.3,1.8,0.6,0.3,1.1,1.5,7.5,,2026-01-14
253.0,Trendon Watford,25.0,PHI,PF,17.0,4.0,17.3,2.8,5.2,0.534,0.4,1.1,0.389,2.4,4.1,0.571,0.574,1.4,1.8,0.8,0.9,3.1,4.0,3.1,0.4,0.2,1.2,2.3,7.4,,2026-01-14
254.0,Isaiah Jackson,24.0,IND,C,29.0,14.0,18.3,2.9,4.9,0.585,0.0,0.0,,2.9,4.9,0.585,0.585,1.6,2.1,0.742,2.5,3.4,5.9,0.8,0.7,0.8,1.1,3.0,7.3,,2026-01-14
255.0,Will Richard,23.0,GSW,SG,36.0,13.0,18.8,2.6,5.1,0.503,1.2,3.1,0.381,1.4,2.0,0.694,0.619,1.0,1.2,0.814,1.0,1.6,2.6,1.1,1.0,0.1,0.8,1.9,7.3,,2026-01-14
256.0,Cason Wallace,22.0,OKC,SG,39.0,32.0,26.8,2.8,6.7,0.411,1.3,3.8,0.351,1.4,2.9,0.487,0.51,0.4,0.6,0.773,0.8,2.2,3.0,2.1,2.2,0.2,0.9,2.0,7.3,,2026-01-14
257.0,Javonte Green,32.0,DET,SG,38.0,4.0,19.9,2.5,5.6,0.439,1.1,3.0,0.351,1.4,2.6,0.54,0.533,1.2,1.6,0.783,0.8,2.1,2.8,0.8,1.4,0.4,0.7,1.6,7.2,,2026-01-14
258.0,Buddy Hield,33.0,GSW,SG,35.0,3.0,16.7,2.7,6.4,0.415,1.4,4.2,0.324,1.3,2.2,0.592,0.522,0.5,0.6,0.9,0.6,1.8,2.4,1.4,0.8,0.1,1.0,1.3,7.2,,2026-01-14
259.0,Kevin Love,37.0,UTA,PF,23.0,4.0,17.3,2.3,5.8,0.403,1.5,4.2,0.354,0.9,1.7,0.526,0.53,1.0,1.3,0.8,1.6,3.9,5.4,1.9,0.3,0.3,0.7,1.9,7.2,,2026-01-14
260.0,Precious Achiuwa,26.0,SAC,C,33.0,19.0,20.2,2.9,5.9,0.495,0.3,1.1,0.314,2.6,4.9,0.534,0.523,0.9,1.8,0.508,1.8,3.5,5.3,1.2,0.8,0.5,0.5,1.7,7.1,,2026-01-14
261.0,Bruce Brown,29.0,DEN,SG,40.0,2.0,24.7,2.8,6.1,0.449,0.5,1.5,0.317,2.3,4.6,0.492,0.488,1.1,1.5,0.776,1.1,3.1,4.2,2.2,1.0,0.2,1.1,2.4,7.1,,2026-01-14
262.0,Walter Clayton,22.0,UTA,PG,34.0,0.0,17.4,2.4,5.6,0.419,1.1,3.2,0.345,1.2,2.4,0.519,0.518,1.3,1.4,0.957,0.3,1.6,1.9,3.1,0.5,0.2,1.1,1.9,7.1,,2026-01-14
263.0,Seth Curry,35.0,GSW,SG,2.0,0.0,16.0,3.0,4.5,0.667,1.0,2.0,0.5,2.0,2.5,0.8,0.778,0.0,0.0,,0.5,1.5,2.0,1.5,1.0,0.0,0.0,1.5,7.0,,2026-01-14
264.0,Andre Drummond,32.0,PHI,C,33.0,15.0,20.2,2.8,5.4,0.508,0.5,1.3,0.395,2.2,4.1,0.544,0.556,1.0,1.6,0.635,3.4,5.4,8.8,0.8,0.6,0.9,0.8,2.1,7.0,,2026-01-14
265.0,Jamal Shead,23.0,TOR,PG,41.0,3.0,21.2,2.4,6.4,0.37,1.1,3.6,0.322,1.2,2.8,0.431,0.46,1.1,1.5,0.77,0.3,1.4,1.7,5.4,1.0,0.1,1.3,2.1,7.0,,2026-01-14
266.0,Bones Hyland,25.0,MIN,PG,32.0,3.0,13.9,2.5,5.5,0.451,1.2,3.4,0.361,1.3,2.1,0.597,0.563,0.7,0.9,0.767,0.2,1.2,1.4,2.5,0.5,0.2,0.8,1.7,6.9,,2026-01-14
267.0,Quenton Jackson,27.0,IND,PG,17.0,8.0,15.6,2.2,4.9,0.452,0.6,1.8,0.355,1.6,3.1,0.509,0.518,1.8,2.4,0.756,0.4,1.4,1.8,1.9,0.6,0.2,1.2,1.7,6.9,,2026-01-14
268.0,Justin Champagnie,24.0,WAS,SF,36.0,9.0,17.6,2.6,5.3,0.492,0.6,1.9,0.313,2.0,3.4,0.59,0.548,1.0,1.4,0.72,2.1,3.4,5.5,1.0,0.7,0.6,0.5,1.6,6.8,,2026-01-14
269.0,Ryan Dunn,23.0,PHO,SF,33.0,11.0,21.6,2.7,6.1,0.445,0.8,2.7,0.307,1.9,3.4,0.554,0.513,0.5,0.8,0.692,1.7,3.1,4.7,1.8,1.0,0.5,1.1,2.5,6.8,,2026-01-14
270.0,Tristan Vukcevic,22.0,WAS,C,29.0,2.0,11.6,2.3,5.1,0.45,0.4,2.0,0.19,1.9,3.1,0.615,0.487,1.8,2.3,0.776,0.6,1.8,2.4,1.0,0.3,0.7,1.0,1.3,6.8,,2026-01-14
271.0,Al Horford,39.0,GSW,C,22.0,1.0,19.2,2.4,6.2,0.382,1.5,4.5,0.347,0.8,1.7,0.474,0.507,0.5,0.5,1.0,1.0,3.8,4.8,1.9,0.8,1.0,1.0,1.1,6.7,,2026-01-14
272.0,Jordan Miller,26.0,LAC,SF,18.0,0.0,14.9,2.2,4.4,0.506,0.8,1.9,0.429,1.4,2.4,0.568,0.601,1.4,1.8,0.813,0.7,1.8,2.6,1.1,0.3,0.2,0.7,0.7,6.7,,2026-01-14
273.0,Ben Sheppard,24.0,IND,SG,29.0,11.0,24.0,2.4,6.3,0.375,1.2,3.8,0.318,1.2,2.6,0.459,0.47,0.7,0.8,0.792,0.7,3.1,3.7,1.8,0.6,0.1,0.6,1.9,6.6,,2026-01-14
274.0,Nick Smith Jr.,21.0,LAL,SG,20.0,1.0,14.4,2.5,5.9,0.427,1.3,3.2,0.406,1.2,2.7,0.453,0.538,0.3,0.5,0.6,0.1,0.8,0.9,1.2,0.4,0.1,0.8,1.1,6.6,,2026-01-14
275.0,Sion James,23.0,CHO,SG,40.0,16.0,25.6,2.0,4.9,0.405,1.1,3.0,0.378,0.9,1.9,0.447,0.521,1.4,1.6,0.862,0.5,2.9,3.4,1.9,0.6,0.4,0.8,1.7,6.5,,2026-01-14
276.0,Cole Anthony,25.0,MIL,PG,28.0,0.0,14.8,2.7,6.4,0.427,0.5,1.9,0.278,2.2,4.4,0.492,0.469,0.5,0.8,0.591,0.4,2.1,2.5,3.6,0.6,0.3,1.9,2.1,6.4,,2026-01-14
277.0,Jaden Hardy,23.0,DAL,SG,27.0,2.0,11.4,2.1,5.2,0.411,1.3,3.3,0.389,0.9,1.9,0.451,0.535,0.8,1.0,0.846,0.3,1.0,1.3,0.6,0.2,0.1,0.9,1.1,6.4,,2026-01-14
278.0,Brook Lopez,37.0,LAC,C,32.0,6.0,17.0,2.2,6.0,0.361,1.5,4.4,0.345,0.6,1.5,0.408,0.49,0.6,0.7,0.818,0.3,2.3,2.7,0.9,0.4,1.0,0.8,1.7,6.4,,2026-01-14
279.0,Tidjane Salaün,20.0,CHO,PF,25.0,0.0,16.7,2.3,4.7,0.496,1.0,2.5,0.419,1.3,2.2,0.582,0.607,0.8,1.1,0.704,0.7,3.6,4.2,0.9,0.4,0.2,0.8,1.6,6.4,,2026-01-14
280.0,Alex Caruso,31.0,OKC,SG,29.0,0.0,18.4,2.3,5.3,0.438,1.0,3.2,0.315,1.3,2.1,0.623,0.533,0.7,0.8,0.909,0.6,2.2,2.8,2.1,1.4,0.4,0.8,1.3,6.3,,2026-01-14
281.0,Jaxson Hayes,25.0,LAL,C,32.0,4.0,17.6,2.6,3.3,0.766,0.0,0.0,1.0,2.5,3.3,0.764,0.771,1.2,1.8,0.655,1.5,2.5,4.0,0.9,0.4,0.6,0.5,2.1,6.3,,2026-01-14
282.0,GG Jackson II,21.0,MEM,PF,19.0,3.0,14.6,2.3,5.4,0.422,0.7,2.8,0.245,1.6,2.6,0.612,0.485,1.1,1.4,0.741,0.4,2.5,2.8,0.6,0.8,0.4,0.9,1.4,6.3,,2026-01-14
283.0,Jared McCain,21.0,PHI,SG,29.0,1.0,17.5,2.3,6.7,0.352,1.0,3.2,0.323,1.3,3.4,0.38,0.43,0.6,0.7,0.857,0.1,2.1,2.3,1.7,0.8,0.0,0.8,1.2,6.3,,2026-01-14
284.0,Mac McClung,27.0,IND,SG,3.0,0.0,11.3,2.3,6.0,0.389,0.7,3.3,0.2,1.7,2.7,0.625,0.444,1.0,1.3,0.75,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,,2026-01-14
285.0,Josh Minott,23.0,BOS,PF,29.0,10.0,17.6,2.3,4.5,0.504,1.1,2.5,0.438,1.2,2.0,0.586,0.626,0.7,0.9,0.769,1.3,2.6,4.0,1.1,0.8,0.4,0.6,1.7,6.3,,2026-01-14
286.0,Dru Smith,28.0,MIA,SG,40.0,1.0,16.9,2.2,4.9,0.439,0.7,2.1,0.341,1.5,2.9,0.509,0.51,1.3,1.6,0.81,0.7,1.7,2.4,2.6,1.5,0.3,1.0,1.6,6.3,,2026-01-14
287.0,Nae'Qwan Tomlin,25.0,CLE,PF,30.0,2.0,15.3,2.5,5.1,0.484,0.5,1.8,0.255,2.0,3.3,0.612,0.529,0.9,1.3,0.711,1.3,1.6,2.9,0.7,0.7,0.7,0.4,1.8,6.3,,2026-01-14
288.0,Jordan Walsh,21.0,BOS,PF,34.0,20.0,19.5,2.4,4.3,0.559,0.8,1.8,0.443,1.6,2.5,0.643,0.652,0.7,0.9,0.806,1.4,3.3,4.7,0.9,1.0,0.5,0.6,2.3,6.3,,2026-01-14
289.0,Patrick Williams,24.0,CHI,PF,37.0,1.0,18.5,2.2,6.1,0.363,1.2,3.3,0.38,1.0,2.8,0.343,0.465,0.6,1.0,0.649,0.6,2.2,2.9,1.2,0.8,0.3,0.9,1.3,6.3,,2026-01-14
290.0,Aaron Holiday,29.0,HOU,PG,29.0,1.0,14.3,2.0,5.0,0.4,1.3,3.4,0.38,0.7,1.6,0.444,0.531,0.9,1.0,0.862,0.1,0.7,0.9,1.0,0.4,0.1,0.7,1.4,6.2,,2026-01-14
291.0,Kobe Sanders,23.0,LAC,SG,31.0,4.0,19.7,2.2,5.2,0.431,0.9,2.5,0.364,1.3,2.7,0.494,0.519,0.8,1.0,0.867,0.5,1.9,2.4,1.5,0.6,0.1,1.4,2.3,6.2,,2026-01-14
